"Key","Rule","Severity","Component","Project","Status","Message","Line","TextRange","Type","Effort","CreationDate","UpdateDate","Tags","URL"
"AZeQydQiJDIiFPR0wEV7","kubernetes:S6865","MAJOR","w159_unstract:add-logo-job.yaml","w159_unstract","CONFIRMED","Bind this resource's automounted service account to RBAC or disable automounting.","9","9:6-9:16","VULNERABILITY","1h","6/21/2025 12:08:07 AM","6/21/2025 1:12:31 AM","","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQydQiJDIiFPR0wEV7"
"AZeQydQiJDIiFPR0wEV5","kubernetes:S6897","MAJOR","w159_unstract:add-logo-job.yaml","w159_unstract","OPEN","Specify a storage request for this container.","10","10:8-10:12","CODE_SMELL","5min","6/21/2025 12:08:07 AM","6/21/2025 12:38:31 AM","","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQydQiJDIiFPR0wEV5"
"AZeQydQiJDIiFPR0wEV6","kubernetes:S6864","MAJOR","w159_unstract:add-logo-job.yaml","w159_unstract","CONFIRMED","Specify a memory limit for this container.","10","10:8-10:12","VULNERABILITY","5min","6/21/2025 12:08:07 AM","6/21/2025 1:12:31 AM","","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQydQiJDIiFPR0wEV6"
"AZeQydQiJDIiFPR0wEV8","kubernetes:S6870","MAJOR","w159_unstract:add-logo-job.yaml","w159_unstract","CONFIRMED","Specify a storage limit for this container.","10","10:8-10:12","VULNERABILITY","5min","6/21/2025 12:08:07 AM","6/21/2025 1:12:31 AM","","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQydQiJDIiFPR0wEV8"
"AZeQydQiJDIiFPR0wEV9","kubernetes:S6892","MAJOR","w159_unstract:add-logo-job.yaml","w159_unstract","OPEN","Specify a CPU request for this container.","10","10:8-10:12","CODE_SMELL","5min","6/21/2025 12:08:07 AM","6/21/2025 12:38:31 AM","","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQydQiJDIiFPR0wEV9"
"AZeQydQiJDIiFPR0wEV_","kubernetes:S6873","MAJOR","w159_unstract:add-logo-job.yaml","w159_unstract","OPEN","Specify a memory request for this container.","10","10:8-10:12","CODE_SMELL","5min","6/21/2025 12:08:07 AM","6/21/2025 12:38:31 AM","","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQydQiJDIiFPR0wEV_"
"AZeQydQiJDIiFPR0wEV-","kubernetes:S6596","MAJOR","w159_unstract:add-logo-job.yaml","w159_unstract","OPEN","Use a specific version tag for the image.","11","11:15-11:22","CODE_SMELL","5min","6/21/2025 12:08:07 AM","6/21/2025 12:38:31 AM","","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQydQiJDIiFPR0wEV-"
"AZeQydAMJDIiFPR0wEVt","secrets:S6736","BLOCKER","w159_unstract:backend/.env.production","w159_unstract","CONFIRMED","Make sure these Rabbit MQ credentials get revoked, changed, and removed from the code.","49","49:32-49:40","VULNERABILITY","30min","6/21/2025 12:08:07 AM","6/21/2025 1:12:31 AM","cwe","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQydAMJDIiFPR0wEVt"
"AZeQdVUgyR1Wrs09NuBC","python:S3776","CRITICAL","w159_unstract:backend/account_v2/authentication_controller.py","w159_unstract","OPEN","Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.","160","160:8-160:29","CODE_SMELL","8min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","architecture, brain-overload","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVUgyR1Wrs09NuBC"
"AZeQdVUgyR1Wrs09NuBD","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_controller.py","w159_unstract","OPEN","Remove the unused function parameter ""organization_id"".","287","287:14-287:48","CODE_SMELL","5min","4/24/2025 6:37:02 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVUgyR1Wrs09NuBD"
"AZeQdVUNyR1Wrs09NuA_","python:S1186","CRITICAL","w159_unstract:backend/account_v2/authentication_helper.py","w159_unstract","OPEN","Add a nested comment explaining why this method is empty, or complete the implementation.","15","15:8-15:16","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","suspicious","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVUNyR1Wrs09NuA_"
"AZeQdVQ0yR1Wrs09NuAo","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""request"".","177","177:14-177:30","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAo"
"AZeQdVQ0yR1Wrs09NuAp","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""request"".","192","192:8-192:24","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAp"
"AZeQdVQ0yR1Wrs09NuAq","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""data"".","194","194:8-194:42","CODE_SMELL","5min","4/24/2025 6:37:02 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAq"
"AZeQdVQ0yR1Wrs09NuAr","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""request"".","212","212:33-212:49","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAr"
"AZeQdVQ0yR1Wrs09NuAs","python:S117","MINOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Rename this local variable ""organizationData"" to match the regular expression ^[_a-z][a-z0-9_]*$.","213","213:8-213:24","CODE_SMELL","2min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","convention","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAs"
"AZeQdVQ0yR1Wrs09NuAm","python:S4144","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Update this function so that its implementation is not identical to user_organizations on line 212.","220","220:8-220:36","CODE_SMELL","15min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","confusing, duplicate, suspicious","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAm"
"AZeQdVQ0yR1Wrs09NuAt","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""id"".","220","220:43-220:50","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAt"
"AZeQdVQ0yR1Wrs09NuAu","python:S117","MINOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Rename this local variable ""organizationData"" to match the regular expression ^[_a-z][a-z0-9_]*$.","221","221:8-221:24","CODE_SMELL","2min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","convention","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAu"
"AZeQdVQ0yR1Wrs09NuAv","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""organization_id"".","229","229:28-229:48","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAv"
"AZeQdVQ0yR1Wrs09NuAw","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""user_id"".","229","229:14-229:26","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAw"
"AZeQdVQ0yR1Wrs09NuAx","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""user_email"".","248","248:50-248:65","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAx"
"AZeQdVQ0yR1Wrs09NuAz","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""organization_id"".","278","278:8-278:28","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAz"
"AZeQdVQ0yR1Wrs09NuA0","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""user_id"".","279","279:8-279:20","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA0"
"AZeQdVQ0yR1Wrs09NuAy","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""request"".","281","281:8-281:24","CODE_SMELL","5min","5/15/2025 6:45:30 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAy"
"AZeQdVQ0yR1Wrs09NuAn","python:S4144","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Update this function so that its implementation is not identical to add_organization_user_role on line 275.","287","287:8-287:37","CODE_SMELL","15min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","confusing, duplicate, suspicious","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuAn"
"AZeQdVQ0yR1Wrs09NuA3","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""organization_id"".","290","290:8-290:28","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA3"
"AZeQdVQ0yR1Wrs09NuA1","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""user_id"".","291","291:8-291:20","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA1"
"AZeQdVQ0yR1Wrs09NuA2","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""request"".","293","293:8-293:24","CODE_SMELL","5min","5/15/2025 6:45:30 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA2"
"AZeQdVQ0yR1Wrs09NuA4","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""id"".","299","299:41-299:48","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA4"
"AZeQdVQ0yR1Wrs09NuA5","python:S117","MINOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Rename this local variable ""organizationData"" to match the regular expression ^[_a-z][a-z0-9_]*$.","300","300:8-300:24","CODE_SMELL","2min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","convention","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA5"
"AZeQdVQ0yR1Wrs09NuA9","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""user_id"".","428","428:8-428:20","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA9"
"AZeQdVQ0yR1Wrs09NuA6","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""user_name"".","429","429:8-429:22","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA6"
"AZeQdVQ0yR1Wrs09NuA8","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""organization_name"".","430","430:8-430:44","CODE_SMELL","5min","4/24/2025 6:37:02 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA8"
"AZeQdVQ0yR1Wrs09NuA7","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""display_name"".","431","431:8-431:39","CODE_SMELL","5min","4/24/2025 6:37:02 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA7"
"AZeQdVQ0yR1Wrs09NuA-","python:S1172","MAJOR","w159_unstract:backend/account_v2/authentication_service.py","w159_unstract","OPEN","Remove the unused function parameter ""organization_id"".","460","460:14-460:34","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","unused","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVQ0yR1Wrs09NuA-"
"AZeQdVUTyR1Wrs09NuBA","Web:S6851","MAJOR","w159_unstract:backend/account_v2/templates/login.html","w159_unstract","OPEN","Remove redundant word ""image"" from the ""alt"" attribute of your ""img"" tag.","114","114:0-114:62","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","accessibility","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVUTyR1Wrs09NuBA"
"AZeQdVUZyR1Wrs09NuBB","python:S1186","CRITICAL","w159_unstract:backend/account_v2/user.py","w159_unstract","OPEN","Add a nested comment explaining why this method is empty, or complete the implementation.","12","12:8-12:16","CODE_SMELL","5min","7/15/2024 7:35:33 AM","6/20/2025 11:06:35 PM","suspicious","https://sonarcloud.io/project/issues?id=w159_unstract&open=AZeQdVUZyR1Wrs09NuBB"
